Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 56.25 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.61307233309724 at t = 14512.5 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     7762.5     28.7797307    |64.5915326    |6.62873665         28.6174526    |64.7689004    |6.61364699    |100           
    7818.75     28.5211521    |64.7731289    |6.70571901         28.35917      |64.9500979    |6.69073212    |100           
     7875.0     28.2648968    |64.9521873    |6.78291597         28.1032184    |65.1287487    |6.7680329     |100           
    7931.25     28.0109438    |65.1287316    |6.86032455         27.8495769    |65.3048767    |6.84554631    |100           
     7987.5     27.7592725    |65.3027857    |6.93794176         27.5982247    |65.478506     |6.92326934    |100           
    8043.75     27.5098625    |65.4743729    |7.01576465         27.3491409    |65.6496601    |7.00119901    |100           
     8100.0     27.2626933    |65.6435164    |7.0937903          27.1023052    |65.8183624    |7.07933238    |100           
    8156.25     27.0177449    |65.8102393    |7.17201581         26.8576973    |65.9846361    |7.15766654    |100           
     8212.5     26.7749973    |65.9745644    |7.25043832         26.6152971    |66.1485043    |7.23619859    |100           
    8268.75     26.5344307    |66.1365143    |7.32905499         26.3750846    |66.3099897    |7.31492566    |100           
     8325.0     26.2960255    |66.2961115    |7.407863           26.1370402    |66.4691149    |7.39384493    |100           
    8381.25     26.0597624    |66.4533781    |7.48685957         25.9011441    |66.6259023    |7.47295359    |100           
     8437.5     25.825622     |66.6083361    |7.56604194         25.6673771    |66.780374     |7.55224884    |100           
    8493.75     25.5935853    |66.7610074    |7.64540736         25.43572      |66.9325521    |7.63172794    |100           
     8550.0     25.3636334    |66.9114135    |7.72495314         25.2061536    |67.0824582    |7.71138816    |100           
    8606.25     25.1357475    |67.0595759    |7.80467659         24.9786591    |67.2301141    |7.79122679    |100           
     8662.5     24.9099092    |67.2055158    |7.88457505         24.7532179    |67.375541     |7.87124115    |100           
    8718.75     24.6860999    |67.3492542    |7.96464588         24.5298114    |67.5187601    |7.95142859    |100           
     8775.0     24.4643016    |67.490812     |8.04488649         24.3084211    |67.6597924    |8.03178648    |100           
    8831.25     24.244496     |67.6302097    |8.12529429         24.089029     |67.7986588    |8.11231223    |100           
     8887.5     24.0266653    |67.767468     |8.20586672         23.871617     |67.9353797    |8.19300325    |100           
    8943.75     23.8107918    |67.902607     |8.28660124         23.6561672    |68.0699758    |8.27385699    |100           
     9000.0     23.5968578    |68.0356468    |8.36749535         23.4426619    |68.2024672    |8.35487091    |100           
    9056.25     23.384846     |68.1666074    |8.44854656         23.2310836    |68.3328739    |8.43604253    |100           
